;Level;Stance;Claim;Votes
269;1.0;con;"Some children do overcome the hardships of being unwanted and/or abused, some don't. Suicide rates among youths in foster care are among the highest in the United States. To claim the ""vast majority"" of children would prefer pain, lack of love, disconnectedness and dim future prospects over having not been born at all is supported by unfounded hope alone.";['0', '0', '1', '0', '0']
270;1.0;con;It is not possible to infer the preferences of an entity that lacks that the mental architecture to carry a preference.;['1', '0', '3', '0', '2']
271;1.0;pro;The woman and her doctor are in the best position to make such a consequential decision.;['0', '0', '1', '0', '0']
272;1.0;con;It is reasonable to assume that a late-stage fetus (e.g. 8 months) is no less capable of having a preference than a newborn.;['1', '2', '0', '0', '1']
273;1.0;pro;This is likely true. A newborn baby has no capability of weighing the benefits and detriments of life or no life. It's a philosophical conundrum even deep-thinking philosophers struggle with.;['0', '0', '1', '0', '0']
274;1.0;con;There are numerous physiological changes that occur at birth, including shifting the blood flow to pass through the lungs. Previous to birth, a fully conscious individual would suffer from sensory deprivation. Therefore it is probable that some physiological change occurs that ignites consciousness.;['0', '0', '1', '0', '0']
275;1.0;con;Some people are now attempting to sue their parents for recklessly bringing them into the world, as the parents knew of defects and circumstances that handicapped them.;['0', '0', '1', '0', '0']
276;1.0;pro;This area of law is as yet undeveloped but test cases are forming. This shows that some people don't appreciate having been allowed to be born into adverse conditions.;['0', '0', '1', '0', '0']
277;1.0;con;These are still a small minority of people. One cannot assume their child will become one of them.;['0', '0', '1', '1', '1']
278;1.0;con;Birth doesn't guarantee a safe life for children. Expecting parents who want a child can't even guarantee a safe life for children. Abortion, however, guarantees that the child will not have a safe life, or a life at all.;['0', '1', '1', '1', '1']
279;1.0;con;Abortion guarantees a child will not have an unsafe or miserable life. To prevent a likely painful and difficult life can be a blessing.;['0', '0', '1', '0', '0']
280;1.0;con;It would be in the state's interest to have as few children taken away from their parents by Child Protective Services as possible. Denying these abortions would mean significant increases in public spending for various social care services.;['1', '1', '1', '0', '0']
281;1.0;pro;In the long term, this would cause more trouble than allowing a woman to have an abortion when she wants one.;['0', '0', '1', '0', '0']
282;1.0;pro;Abortion and birth control are fiscally responsible. Spending $235 million on family planning would save $1.32 billion.;['1', '0', '1', '0', '1']
283;1.0;con;This source speaks only of birth control and spending money on contraceptive services being fiscally responsible, not abortion.;['0', '1', '2', '0', '2']
284;1.0;con;Child protective services takes children away from parents, which does not help the women seeking a safe environment and the intervention of the Child Protection Service may make that environment even worse.;['1', '1', '1', '0', '0']
285;1.0;con;The trend described in the source also appears to hold for positive, healthy relationships. The benefits caused by healthy relationships lasting longer help outweigh any negative effects from bad relationships going longer than they should.;['0', '1', '0', '0', '0']
286;1.0;con;Optimal conditions for child-rearing are relatively rare. Children raised in unsafe environments can survive and thrive despite risk factors.;['0', '0', '2', '0', '1']
287;1.0;con;Indeed, children can survive in threatening and abusive environments where their future prospects in life are dim. However, it would be irresponsible to put children through such life trauma when we can spare them of it.;['0', '0', '1', '0', '0']
288;1.0;pro;It's neglectful, indeed possibly mean-spirited, to bring an unloved child into the world only to suffer a difficult, challenging and, likely, painful life when a mother could be sympathetic to a would-be child's future brutal life and prevent it.;['0', '0', '1', '0', '0']
289;1.0;con;Life begins at conception. Abortion therefore violates the rights to life and bodily autonomy of the fetus.;['0', '0', '1', '0', '0']
290;1.0;pro;Even though a fetus cannot necessarily exist outside a mother's body immediately, it is a living being with the potential to live a full life and therefore should be protected.;['17', '5', '5', '10', '17']
291;1.0;pro;"Even if the fetus is not ""human"" in the sense that it looks, walks, and talks like us, the fetus has potentiality. Left untouched, it will develop naturally into a person.";['4', '1', '2', '1', '1']
292;1.0;con;"Leaving the fetus in the womb is not the same as leaving it ""untouched"". At multiple stages the fetus requires assistance from the mother's body or it will cease to develop and quickly die.";['1', '1', '1', '1', '3']
293;1.0;con;There is no guarantee that a fetus 'left untouched' would develop into a baby. Regrettably, miscarriages may occur.;['1', '1', '1', '0', '3']
294;1.0;pro;Miscarriages are remarkably common and as many as 1 in 4 pregnancies end in miscarriage.;['0', '1', '2', '0', '2']
295;1.0;con;There is a significant difference between a miscarriage and an abortion.;['0', '0', '1', '0', '1']
296;1.0;con;Miscarriages are not caused by people in most cases. Abortion is done on purpose.;['0', '1', '1', '0', '1']
297;1.0;con;It is also true, unfortunately, that not all infants develop into adults. However, this does not justify labeling infants as nonpersons.;['0', '0', '1', '0', '0']
298;1.0;pro;Allowing abortions means allowing people to end potential lives, removing all future possibilities of this being existing and having their own desires and wants.;['5', '1', '1', '1', '1']
299;1.0;pro;Abortion takes away any future experiences from a baby that was meant to be born.;['1', '0', '2', '0', '1']
300;1.0;con;The idea that someone is 'meant to do something' or that something is 'meant to happen' is an appeal to an unsubstantiated authority, and thus in effect is really just an attempt to impose the will of one person onto another.;['1', '0', '2', '0', '0']
301;1.0;con;"The suggestion that a baby was ""meant to be born"" relies on a belief in a higher power which has specific intentions. It is not clear that this is the case.";['1', '1', '1', '0', '4']
302;1.0;con;Abortions have the same ethical ramifications as abstinence and contraception - all three result in the lack of a life that could have existed. If abortion is unethical, so is avoiding impregnating and avoiding being impregnated at any time.;['0', '0', '1', '0', '0']
303;1.0;pro;If we draw the line at conception, then all hormone-based contraceptive methods are abortions.;['1', '0', '2', '0', '0']
304;1.0;pro;Hormone-based contraceptive methods can thicken the lining of the uterus, preventing attachment of the fertilized egg.;['0', '1', '1', '1', '1']
305;1.0;pro;If life truly were to begin at conception, IVF would also be highly immoral as multiple eggs are fertilized in vitro, and often not all of them used.;['0', '1', '1', '0', '2']
306;1.0;pro;IVF could be considered even more immoral, since whole teams of people spend lots of time effort and money deliberately pursuing treatments that end up leaving multiple embryos to die in the freezer.;['0', '0', '2', '0', '1']
307;1.0;con;Some pro-lifers such as Catholics oppose both abortion and IVF, so it is unlikely that they can be convinced to abandon the pro-life position.;['0', '1', '0', '0', '0']
308;1.0;con;One could reject abortion and accept hormonal contraception if they regard the intention of the woman as morally relevant.;['0', '0', '1', '0', '0']
309;1.0;pro;In the case of hormonal contraception, if a zygote does fail to implant this was not intended by the woman. Instead, she intended to prevent the meeting of sperm and egg to form the zygote in the first place. In abortion, however, the destruction of the baby is fully intended.;['0', '0', '1', '0', '0']
310;1.0;con;Not all hormonal contraceptives are abortive. Many prevent ovulation, which means an egg is never released to be fertilized.;['0', '1', '1', '1', '1']
311;1.0;con;One could plausibly hold that abortion and hormone-based contraceptions are both immoral, so this claim doesn't address the pro-life position completely.;['0', '0', '1', '0', '0']
312;1.0;con;This is a fallacy of equivocation. In the event of an abortion, the life of the fetus has already begun, so there exists something to be destroyed.;['0', '2', '0', '0', '3']
313;1.0;con;Given that abstinence and contraception are merely inaction resulting in a lack of life, whereas abortion is an intentional action which leads the destruction of life, the latter is moral by comparison.;['1', '0', '2', '0', '2']
314;1.0;con;Contraception is not inaction, as it requires very specific actions to be taken.;['0', '0', '0', '0', '0']
315;1.0;con;The action/inaction distinction is a matter of ease - it is hard to sacrifice your hard-earned money even when you know it's the right thing to do, but easy not to go out and rob a charity. An abortion and a healthy pregnancy both require effort and active intent.;['1', '1', '1', '0', '1']
316;1.0;con;Neither abortion advocates nor pro-life advocates claim that there is an ethical mandate to bring all theoretically possible life into the world, so this interpretation of the ethical ramifications is an example of an appeal to extremes fallacy.;['0', '1', '1', '0', '2']
317;1.0;con;"It's philosophically untenable for a third party to make an argument for just one of another person's potential futures, against that person's own interest. Almost anything could conceivably prevent almost anything else in the future; it's called the butterfly effect.";['1', '0', '2', '0', '3']
318;1.0;con;Vague potential cannot be the foundation of ethically significant decisions. A fetus also has the potential to live a short life filled with suffering, but we do not therefore suggest that all fetuses should be aborted.;['2', '1', '3', '0', '0']
319;1.0;con;This is a far less common outcome for babies in modern society than a long life, so it should not be assumed that any particular baby will have to undergo this.;['0', '0', '1', '0', '0']
320;1.0;con;The potential to have a full life does not guarantee that the life should be protected.;['3', '1', '2', '1', '5']
321;1.0;pro;A person dying of kidney failure still has the potential for full life, but that does not grant them the right to risk the life of someone else by demanding a kidney transplant. In the same way, a fetus with the potential for full life cannot demand the use of the mother's body because pregnancy risks the mother's life.;['0', '0', '1', '0', '0']
322;1.0;con;The number of pregnancies that are life-threatening to the mother is extremely small.;['1', '1', '1', '0', '1']
323;1.0;con;Until a gestation in progress is entirely outsourceable, like parenting is, it is not ethical to force involuntary servitude (ex: forced gestation) on a person because they are pregnant.;['3', '0', '2', '0', '2']
324;1.0;con;Some conceptions fail because the fertilised egg never implants in the uterus. Human reproduction is just too inefficient to consider conception the beginning of even a potential life.;['0', '0', '0', '0', '0']
325;1.0;pro;Conception, if scientifically defined as when a sperm and egg merge, takes place at any time from moments after male ejaculation until days later. Therefore, the concept that life begins at conception is nebulous at best and has little practical value for determining the beginning of a life.;['0', '1', '1', '0', '3']
326;1.0;con;Every living human's life ultimately began at conception. It makes no moral difference that some were ended sooner than others.;['4', '2', '0', '0', '2']
327;1.0;pro;The right to life should be considered fundamental and absolute.;['0', '0', '3', '0', '0']
328;1.0;pro;The right to life is fundamental because it is crucial in order to allow people to access their other rights and make any future choices.;['0', '0', '0', '1', '0']
329;1.0;pro;The right to life is enshrined in Article 3 of the Universal Declaration of Human Rights.;['0', '0', '1', '0', '0']
330;1.0;con;The fact that the right to life is enshrined in the Universal Declaration of Human Rights (UDHR) doesn't make the right to life absolute. The UDHR says nothing about the right to life of animals or (hypothetical) aliens. The first article makes it clear that such rights begin at birth (p. 120).;['1', '0', '2', '0', '2']
331;1.0;con;The Universal Declaration of Human Rights is not a legally binding instrument.;['1', '0', '1', '2', '0']
332;1.0;con;The legal ramifications of a document have no bearing on the moral applicability of its implications.;['0', '0', '2', '0', '1']
333;1.0;con;Capital punishment is still legal in a number of countries, and in a number of US states. This shows that at times the state condones the ending of life, meaning the right is not absolute.;['0', '0', '1', '0', '0']
334;1.0;con;The removal of rights after due process is never the case with abortion. The gestating human has either done nothing to warrant the removal of their rights, or does not even possess such rights. Capital punishment has no bearing on the abortion discussion.;['1', '0', '2', '0', '2']
335;1.0;pro;Capital punishment is a penalty meant for someone who committed serious crimes. The fetus' life should not be terminated since he/she did not commit any crime.;['1', '0', '1', '1', '1']
336;1.0;con;Capital punishment is an act of self-defense, imparted only by the State, and is an act of last resort, i.e. the prisoner is still a danger to society. It is not a statement on the value or right to life of the one being executed.;['0', '2', '1', '0', '1']
337;1.0;pro;Capital punishment protects the right to life by establishing consequences for murderers.;['0', '1', '1', '0', '1']
338;1.0;con;Capital punishment is a specific circumstance where people have committed a heinous crime and therefore have a number of their rights restricted or taken away.;['0', '2', '1', '0', '1']
339;1.0;con;Governments do not do everything they can to ensure that people remain alive for as long as possible, which they should if the right to life is absolute and fundamental.;['0', '0', '1', '0', '0']
340;1.0;pro;Governments do not put all of their money into healthcare and medical research to allow people to live as long as possible.;['1', '0', '2', '0', '1']
341;1.0;pro;Governments do not make it a requirement of people to donate organs even though this would mean being able to save many people's lives.;['1', '0', '2', '0', '1']
342;1.0;con;The government made murder illegal because it violates the right to life. The same should go for abortion.;['0', '2', '1', '0', '1']
343;1.0;con;Governments do not do many other things that are good for the population. What governments do or fail to do shouldn't be used as an argument for the morality of anything.;['0', '1', '1', '0', '2']
344;1.0;con;The 'right to life' is not the same as 'the right to be kept alive for as long as possible'. It only means that a human has the right to live, and should not be killed by another human being.;['0', '1', '2', '0', '1']
345;1.0;pro;Biological facts indicate that fetuses are human.;['0', '6', '5', '6', '7']
346;1.0;pro;After 4-6 weeks of fetal development, the fetus develops a heartbeat. A heartbeat is an indication of life so the fetus should get legal protections as a human with the right to life.;['4', '4', '1', '0', '2']
347;1.0;pro;If we claim a person to be dead when their heart stops beating, life should begin when their heart starts beating. Claiming the fetus is not independently survivable at that point doesn't matter. Many people are kept alive by the assistance of machinery and technology.;['2', '2', '0', '0', '1']
348;1.0;con;This would imply that a heart beating was a necessary condition for human personhood, not that it was a sufficient condition.;['0', '0', '1', '0', '0']
349;1.0;con;A beginning and end are different. A person dying when their heart stops doesn't mean the heart beating is when it starts.;['1', '1', '1', '0', '1']
350;1.0;con;CPR happens when a heart stops beating and doesn't stop without reason, until then only a doctor can pronounce someone dead. This is because even people with experience and knowledge can't call someone else dead because their heart stops beating.;['1', '1', '1', '0', '1']
351;1.0;con;Though what seems like a heartbeat happens after twenty days, the heart isn't developed until twenty weeks.;['1', '0', '2', '0', '2']
352;1.0;con;A heartbeat is not enough to define life. The neural system is far more relevant to draw a line between an alive and conscious human and a bunch of worthless cells.;['1', '1', '1', '0', '4']
353;1.0;con;While a fetus doesn't have brain and heart activity, all its cells are working together for the survival of the system as a whole. This is an important component of cellular organization, a central benchmark of biological life.;['0', '1', '2', '0', '1']
354;1.0;con;Given scientists and philosophers haven't reached a consensus on the difference between a human and a fetus in terms of the brain, using the brain as the sole criteria is an unnecessary ethical risk.;['0', '1', '1', '0', '1']
355;1.0;con;"We do not consider it murder to ""pull the plug"" on someone who is brain dead, even if their heart is beating.";['1', '1', '1', '1', '2']
356;1.0;pro;"A heartbeat is a mechanical function like any other. Machines can be designed with systems which are analogous to heartbeats. The heartbeat is ""an indication of life"" insofar as a person without a heartbeat is generally either dead or likely to die imminently, not such that an object having a ""heartbeat"" makes it a living being.";['0', '0', '2', '0', '0']
357;1.0;con;"Some people do in fact always consider it wrong to end the life of someone who is in a coma.  As long as the patient isn't brain dead (i.e. ""dead"") then it's wrong to pull the plug.";['0', '0', '1', '0', '0']
358;1.0;con;"Pulling the plug on a brain dead person occurs when medical professionals agree there is very little to no chance at life. This is not always the case for ""voluntarily"" aborted fetuses.";['0', '0', '2', '0', '1']
359;1.0;pro;Human embryos autonomously direct their own development after conception, even when they are not in their mothers’ wombs.;['1', '2', '1', '0', '3']
360;1.0;con;This is not enough to define embryos as complete humans worthy of every human right.;['0', '0', '2', '0', '1']
361;1.0;pro;Biology textbooks are consistent that the lifecycle of a genetically distinct human organism begins at conception.;['0', '0', '0', '0', '4']
362;1.0;pro;The human life cycle begins at fertilization, when an egg cell inside a woman and a sperm cell from a man fuse to form a one-celled zygote.;['1', '0', '3', '0', '2']
363;1.0;con;Before fertilization, the exact same components are present as an egg and sperm. If destroying a zygote is immoral, likewise the destruction of the egg and/or the sperm that would produce it would be immoral. But the destruction of the egg or sperm is not immoral, and so destroying a zygote wouldn't be immoral.;['0', '0', '1', '0', '0']
364;1.0;pro;Biology does not treat mother and fetus as one organism, but two separate and distinct human organisms.;['1', '0', '2', '0', '1']
365;1.0;pro;While present in the mother's body, the fertilized egg is not part of the body and never becomes part of the mother's body. It travels through the fallopian tube entirely independent of the mother's nutrients until it attaches via placenta into the womb.;['0', '0', '1', '0', '0']
366;1.0;pro;The unborn human has its DNA set from conception. While similar to the mother's and father's due to inherited chromosomes and genetic traits, the DNA is not the same as the mother's.;['1', '1', '1', '0', '1']
367;1.0;con;Suppose the fetus was not genetically unique from its mother (something which is possible), that would have no bearing on the question as to whether abortion was moral or not. Thus, genetic uniqueness is an irrelevant criterion when deciding the morality of abortion.;['0', '0', '1', '0', '0']
368;1.0;con;DNA is not set but changes over time.;['1', '1', '1', '0', '1']
369;1.0;con;"A fertilized egg becomes a fetus which is physically connected to the mother's body via the umbilical cord; it is dependent on her body for nutrients, and cannot sustain its own life, therefore it is not yet separate from her body but an extension of it.";['0', '0', '1', '0', '0']
370;1.0;con;Tadpoles are the beginning of the frog lifecycle. They are still not frogs any more than caterpillars are butterflies or blastocysts are human.;['2', '2', '1', '0', '2']
371;1.0;con;The science of embryology directly falsifies this claim. Natural, developmental changes in the outward appearance of a living organism - even dramatic changes like with the butterfly - do not produce a different kind of organism. According to modern embryology, a zygote is a distinct, living, and whole human being.;['0', '0', '2', '0', '2']
372;1.0;con;They would still have the same DNA as a frog, which makes them a frog.;['0', '0', '2', '0', '2']
373;1.0;con;Actually frogspawn is the beginning of the frog lifecycle. And by this kind of thinking, you could argue that a child shouldn't be considered human because it hasn't grown into an adult yet.;['0', '0', '2', '0', '2']
374;1.0;pro;A living human organism develops through stages, but is not biologically less or more a human organism at any stage. Some of the various stages are zygote, blastula, embryo, fetus, neonate, infant, adolescent, and adult.;['0', '1', '1', '0', '2']
375;1.0;con;The majority of biology textbooks used to use creationism to describe the world's history and omitted evolution. The fact that biology textbooks are consistent in how they describe conception is not a reason we should believe in that description.;['1', '1', '4', '0', '2']
376;1.0;con;Just because biology textbooks got something wrong in the past doesn't mean that their views on embryology are wrong now.;['0', '0', '1', '0', '0']
377;1.0;pro;When a biology textbook says that DNA has a double helix structure, it would make little sense to doubt that just because other textbooks used to teach creationism.;['0', '0', '1', '0', '0']
378;1.0;con;Being a biological human being is legally and morally distinct from being a person with the rights and responsibilities ascribed to legal personhood.;['1', '1', '2', '0', '3']
379;1.0;pro;Even if a fetus is considered human, it does not have a 'right to life' as it does not qualify for the status of 'personhood.';['1', '0', '2', '0', '1']
380;1.0;pro;"A human being requires a functional brain, wherein the mind resides. During pregnancy the brain doesn't even start to form until six weeks after conception when the neural tube closes, and the brain does not become functional until ""around the time a full-term baby is born"".";['1', '1', '1', '1', '3']
381;1.0;pro;This is why brain death is generally the medical definition of death.;['0', '0', '1', '0', '0']
382;1.0;con;Being a human being does not require a functional brain because anencephalic infants do not have a functional brain, but they are still human beings.;['0', '0', '1', '0', '0']
383;1.0;pro;Fetuses are yet to become citizens of the state since they are unborn and therefore have no rights or protection under common law.;['1', '1', '4', '0', '3']
384;1.0;con;Citizenship is irrelevant to the legality and morality of the act. Non-citizens enjoy the protection of the law just as much as citizens do. It is not legal to kill a non-citizen any more than it is to kill a citizen (p. 5).;['0', '0', '1', '1', '3']
385;1.0;pro;A fetus is not self aware, conscious, or able to feel pain.;['2', '1', '2', '0', '6']
386;1.0;pro;It is not until 28-30 weeks into the pregnancy that the fetus starts to feel pain. A woman should have the right to an abortion, as long as it's before that time.;['1', '1', '0', '1', '2']
387;1.0;con;Killing people is still considered unethical even if the victim doesn't feel pain.;['0', '0', '1', '0', '0']
388;1.0;con;Ethics and morality are subjective and can vary from society to society or even from person to person.;['0', '0', '1', '0', '0']
389;1.0;pro;No one can dictate a certain morality to another person nor can they demand how another person acts or how they should feel based on their individual morals.;['0', '0', '1', '0', '0']
390;1.0;pro;As with all acts, the morality of abortion varies with the person's context.;['1', '0', '2', '0', '1']
391;1.0;pro;In an instance where the pregnant woman's life is at risk and the fetus would not survive on it's own, utilitarianism argues that an abortion would be more ethical than letting both the woman and the fetus die.;['1', '1', '0', '1', '0']
392;1.0;pro;The basis of utilitarianism argumentation would be that the overall good of saving the woman's life outweighs any unethical implications of abortions.;['0', '0', '1', '0', '0']
393;1.0;con;The utilitarian argument is not the only basis in determining the ethical implications of abortion.;['0', '2', '1', '0', '1']
394;1.0;pro;There are many reasons why utilitarianism may be flawed.;['1', '1', '1', '0', '1']
395;1.0;con;Utilitarian evaluations are relevant to many people, particularly utilitarians, whether they are the sole basis for every person's opinion or not.;['1', '1', '1', '0', '1']
396;1.0;con;"Having an abortion for medical reasons makes up less than 1% of all abortions, even lower when the ""life of the mother"" is in jeopardy. The utilitarian justification for abortion is therefore very, very small.";['0', '1', '1', '0', '1']
397;1.0;pro;It is reasonable to give priority to the mother over the child in extreme cases. However, this does not make voluntary abortions acceptable.;['3', '1', '1', '1', '2']
398;1.0;pro;Statistics regarding the number of abortions due to endangerment of mother's life back this up. Florida, 2015: 0.065%. UK,1968-2011: 0.006%. U.S. estimate: 1%.;['2', '1', '1', '0', '4']
399;1.0;con;The number of times something happens doesn't always make it less important. If you, or someone else you care about, were in that 1%, you would likely want them to be able to access to abortion.;['1', '1', '1', '1', '2']
400;1.0;con;Abortion would still need to be legal for those cases, as adoption would not solve the issue at hand.;['1', '1', '1', '0', '1']
401;1.0;con;"""Less than 1% of all abortions"" could be misleading because if between 1970 and 2014, there were ""44.5 million legal induced abortions"", then there could be 445k abortions that fall in this category. That would be a significant impact to a lot of people.";['1', '1', '1', '0', '5']
402;1.0;con;Many argue that morality is not subjective when it comes to causing harm. If abortion causes harm to the fetus then the context does not matter.;['1', '0', '2', '0', '1']
403;1.0;pro;Morals are a set of rules that individuals live by, thus it cannot be suggested that people with different morals are somehow incorrect or wrong. Women should have the right to choose what happens to their body and to live by the morals they choose for themselves.;['1', '1', '0', '1', '0']
404;1.0;con;Saying that “women should always have the right to choose” is a moral judgment, that according to your argument, can not be judged as “correct” or “right.” All laws are codifications of moral judgments, and there are some acts that are universally considered immoral, such as the taking of an innocent human life.;['1', '1', '1', '0', '1']
405;1.0;con;If a society polices for murder, theft, or other crimes considered immoral, then that society finds it ethically acceptable to determine what is a crime, create laws to prohibit that crime, and then police to enforce the law.;['0', '1', '2', '0', '1']
406;1.0;pro;These laws may change over time as the society reevaluates and changes, but the fundamental ethics of the society hold that it may create laws based in moral principles and then enforce them.;['0', '0', '1', '0', '0']
407;1.0;con;Different people can hold different opinions of ethics, however that does not mean they are all equally correct and does not prove the subjectivity of ethical rules.;['0', '0', '2', '1', '3']
408;1.0;pro;Ethics can vary from culture to culture, with some slavery, for example. However, the underlying moral standards of right and wrong do not vary, even if a culture chooses not to base its ethics in those moral principles.;['0', '1', '1', '0', '1']
409;1.0;con;There is no indication to believe that there are moral standards of right and wrong.;['1', '0', '2', '0', '0']
410;1.0;pro;There is large debate about the existence of objective morality.;['0', '0', '0', '0', '0']
411;1.0;con;Under this thinking you could do whatever you want, whenever you want, and for whatever reason you want, no matter how many people get hurt, killed, or taken advantage of in the process.;['0', '0', '0', '0', '0']
412;1.0;con;"Most relevant definitions of ""subjective"" state that something is subjective if different people can hold different opinions on the matter. If people can hold different opinions on whether or not abortion is immoral or unethical, it is subjective according to those definitions.";['1', '0', '1', '1', '1']
413;1.0;con;"Morality by definition is not subjective. Preferences are entirely subjective and are neither right or wrong, they are just different tastes. Morality assumes ""right"" is not ""wrong"" and vice versa. Whenever a person assumes something is right they are assuming it is not wrong thus automatically proving a standard.";['1', '0', '2', '0', '1']
414;1.0;con;Fetuses can feel pain well before that.;['0', '0', '2', '0', '1']
415;1.0;pro;"A study concludes that from the 15th week of gestation onward, “the fetus is extremely sensitive to painful stimuli,"" and this should be considered when performing invasive medical procedures on the fetus to prevent suffering.";['0', '2', '1', '0', '1']
416;1.0;con;The support for this argument is a single testimony provided in an article written by an organization prejudiced against abortion.;['1', '1', '1', '1', '2']
417;1.0;con;Not being self aware, conscious, and able to feel pain does not stop one from being a person with rights.;['0', '0', '1', '0', '0']
418;1.0;pro;People who can't feel pain qualify as people.;['0', '0', '1', '0', '0']
419;1.0;pro;People in a coma or people in an alive but unconscious state aren't disqualified as human or having less rights simply because they are not aware.;['0', '0', '1', '0', '0']
420;1.0;pro;It is definitely wrong to end the life of a person in a coma if the coma is reversible, and the person probably has a long life ahead of them.;['0', '0', '1', '0', '0']
421;1.0;pro;The claim that consciousness is necessary for rights confuses the source of rights with the effect of that source. The root of rights is human nature.;['1', '0', '1', '1', '0']
422;1.0;pro;Consciousness is an effect not a cause of human nature. Nor is evidence of consciousness the only evidence of human nature.;['0', '0', '1', '0', '0']
423;1.0;con;It is always considered wrong to end the life of a healthy human being. It is not always considered wrong to end the life of someone who is in a coma.;['1', '1', '1', '1', '2']
424;1.0;pro;In many cases, the assisted death of someone is performed with the intent of ending suffering (often of patients with a terminal illness).;['1', '0', '2', '0', '0']
425;1.0;con;This is not relevant to fetal personhood because the baby is not suffering, and therefore the justification for taking a life in that case doesn't apply here.;['0', '0', '1', '0', '0']
426;1.0;con;The referenced material is very far from being the unanimous definition of personhood.;['1', '3', '1', '0', '1']
427;1.0;pro;Personhood is a variable concept depending on one's personal philosophy, and so should not be used as a benchmark for assigning value to human life.;['0', '1', '1', '1', '1']
428;1.0;con;A fetus develops during the gestational period such that it does gain self-awareness and consciousness. Therefore it can still be argued it should qualify for personhood status while still in utero.;['1', '2', '2', '0', '1']
429;1.0;pro;A fetus develops the capacity for self-awareness and consciousness around the beginning of the second trimester. Thus, it should be regarded as having the unalienable right to life.;['0', '1', '1', '0', '2']
430;1.0;con;While it is true that a fetus develops sentience in utero, it does not have sentience from the moment of conception. Therefore, a fetus should not be considered a person prior to the development of sentience which roughly coincides with the beginning of the 2nd trimester.;['0', '0', '1', '0', '0']
431;1.0;pro;The fetal stage of human development is about 8-40 weeks from conception. Cortical function is present by 30 weeks.;['0', '1', '2', '0', '1']
432;1.0;con;Many non-human animals have cognitive capacities well beyond those of a fetus. These capacities are not typically taken to be sufficient for a right to life in the case of animals so it is unclear why they ought to be sufficient in the case of fetuses.;['1', '1', '1', '0', '2']
433;1.0;con;It's very clear why cognitive capacities are sufficient for a fetus and not sufficient for an animal. A fetus is a human and an animal is not. Human rights are not the same as animal rights.;['1', '1', '1', '0', '1']
434;1.0;pro;"For example, ""right to life"" does not exist among animal rights. One can euthanize their dog.";['0', '0', '1', '0', '0']
435;1.0;pro;Roe v Wade determined that, in the US, a fetus is not legally recognised as a person.;['2', '1', '2', '0', '2']
436;1.0;pro;The right to life is fundamental, but life begins at independent viability.;['1', '1', '1', '1', '1']
437;1.0;pro;A fetus's right to life does not imply the right to use the mother's body to sustain its life.;['1', '1', '0', '2', '2']
438;1.0;pro;In Judith Jarvis Thomson's famous violinist example, she argues that people would be outraged if upon waking up they found themselves plugged to an ailing violinist and told that in order for the violinist to remain alive, they must remain plugged to them for the next nine months.;['2', '1', '1', '1', '4']
439;1.0;pro;Such an experiment demonstrates how abortion does not violate a fetus' right to life. Rather, it just deprives the fetus of the use of the pregnant person's body.;['0', '0', '1', '0', '0']
440;1.0;con;In the violinist example the violinist is a complete stranger, while in a pregnancy the baby is the mother's own child.;['1', '1', '0', '0', '0']
441;1.0;pro;A mother who fails to provide for her own child's basic needs such as food and water is guilty of child neglect, whereas someone who passes a stranger on the street begging for food and doesn't give them anything is not guilty of a crime. This intuitively supports the idea that a person's obligations towards their own child is greater than that towards a stranger.;['0', '0', '0', '1', '0']
442;1.0;con;One plausibly has duties (moral or legal) to persons under one's charge, like children. However, it is not at all clear that one has duties to an unwanted fetus.;['0', '0', '1', '1', '0']
443;1.0;con;"A mother has duties to her two-year-old son, regardless of whether the child is ""wanted"". Therefore it is plausible that the fetus being ""unwanted"" doesn't take away her duties towards it.";['0', '0', '0', '2', '0']
444;1.0;con;The violinist example can only be used to justify abortion in the case of rape, because in the example, you did nothing that could have led to you being attached to the violinist.;['0', '0', '1', '0', '0']
445;1.0;con;The violinist example is not analogous because withdrawing support is very different from directly killing. In that example, the person did not create the violinist's dependency on their body whereas the parents are responsible for the creation of a fetus, thereby creating an obligation to provide due care.;['1', '1', '1', '1', '3']
446;1.0;con;It is an assumption that all biological parents choose to create life and so accrue obligations to the fetus. In cases where parent do not deliberately concieve, the violinist is equivalent to a fetus and so the thought experiment holds true.;['1', '0', '2', '0', '0']
447;1.0;con;This assumes that withdrawing support is different from direct killing. This distinction is unclear at best, since both cases involve a decision (terminate life) causally connected to a consequence (termination of life).;['1', '0', '2', '1', '0']
448;1.0;pro;When a fetus is able to exist independently from the mother's body they can be considered to be independent living beings. During pregnancy the fetus is specifically reliant on the mother to maintain their life, which is no longer the case once they are born, making them more independent.;['0', '0', '1', '1', '0']
449;1.0;con;The mother's body naturally sends nutrients to the fetus. That she might not consciously approve of this doesn't mean the fetus is violating her rights by accepting the nutrients offered.;['0', '0', '1', '0', '0']
450;1.0;con;Viability is a weak argument for determining the right to life. A human on life-support isn't viable, but we still believe they are are human beings with rights.;['2', '1', '1', '2', '3']
451;1.0;pro;Newborns (and most people who are under 18) cannot live independently, but they are still persons.;['0', '0', '1', '0', '0']
452;1.0;con;This obscures the order in which personhood is first attained. A human on life-support attains viability before losing it in this example.;['1', '1', '1', '1', '1']
